Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	aan de achterkant en	7	A	0, 6
4	2	aan de	21	A	0, 1, 6, 20
3	2	ja die	19	A	15, 19, 33
2	2	dit zijn	32	A	0, 31
2	2	mislukken driehoek	3	A	31, 33
2	2	mislukken driehoekje	11	A	18, 28
2	2	ook een	2	A	0, 1
2	2	zijn de	14	A	18, 31
14	1	ja	27	A	8, 9, 15, 16, 17, 19, 20, 21, 22, 28, 29, 32, 33, 34
4	1	die	34	A	0, 15, 19, 33
4	1	een	5	A	0, 1, 2, 4
4	1	onderzeeër	32	A	0, 15, 18, 31
3	1	en	7	A	0, 1, 6
3	1	hebben	20	A	0, 4, 19
3	1	het	17	A	2, 7, 18
3	1	ook	3	A	0, 1, 2
3	1	twee	18	A	0, 6, 17
2	1	dat	10	A	19, 28
2	1	ik	15	A	2, 16
2	1	met	11	A	18, 28
2	1	vierkant	7	A	0, 6
2	1	zo	2	A	4, 5

