Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	ok bij mij B	9	B	7, 15
3	3	ok bij mij	17	B	7, 15, 23
2	3	o dit zijn	10	B	13, 22
3	2	verrekijker en	18	B	5, 13, 22
2	2	o die	8	B	11, 18
5	1	ja	21	B	5, 6, 14, 19, 25
5	1	o	14	B	11, 13, 18, 22, 24
5	1	ok	19	B	7, 12, 15, 23, 25
4	1	mij	19	B	5, 7, 15, 23
4	1	zijn	18	B	5, 6, 13, 22
3	1	B	18	B	7, 15, 24
3	1	dat	20	B	6, 13, 25
3	1	die	8	B	11, 13, 18
3	1	dit	18	B	5, 13, 22
3	1	met	18	B	5, 13, 22
2	1	antenne	9	B	5, 13
2	1	hier	14	B	11, 24
2	1	robot	10	B	13, 22

