Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	ik hebben degeen	12	B	13, 24
2	3	op een drie	12	B	13, 24
5	2	en dan	24	B	2, 9, 15, 24, 25
4	2	een soort	15	B	0, 2, 13, 14
3	2	ik hebben	25	B	0, 13, 24
2	2	aan de	8	B	2, 9
2	2	dat zijn	13	B	9, 21
2	2	een hoek	17	B	9, 25
2	2	met een	17	B	9, 25
2	2	nog een	14	B	2, 15
2	2	van de	14	B	0, 13
6	1	ja	20	B	8, 9, 10, 19, 20, 27
5	1	dan	24	B	2, 9, 15, 24, 25
5	1	de	26	B	0, 2, 9, 13, 25
5	1	en	24	B	2, 9, 15, 24, 25
5	1	soort	25	B	0, 2, 13, 14, 24
4	1	hebben	25	B	0, 2, 13, 24
4	1	ik	25	B	0, 9, 13, 24
3	1	dat	16	B	9, 21, 24
3	1	het	26	B	0, 24, 25
3	1	met	17	B	9, 24, 25
3	1	twee	24	B	2, 15, 25
3	1	van	16	B	0, 13, 15
3	1	zijn	13	B	9, 14, 21
2	1	C	2	B	9, 10
2	1	basisvorm	13	B	1, 13
2	1	boven	11	B	15, 25
2	1	cilinder	6	B	9, 14
2	1	die	11	B	15, 25
2	1	klein	11	B	15, 25
2	1	links	10	B	15, 24
2	1	of	16	B	0, 15
2	1	uitsteeksel	24	B	2, 25

