Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	dat zijn nummer vijf	8	A	13, 20
2	4	ja dat zijn nummer	8	A	20, 27
2	3	aan de voorkant	14	A	3, 16
4	2	aan de	17	A	1, 3, 16, 17
4	2	dat zijn	25	A	3, 13, 20, 27
3	2	ja dat	12	A	16, 20, 27
3	2	met een	16	A	3, 11, 18
2	2	een één	9	A	3, 11
2	2	met dat	8	A	16, 23
2	2	of een	11	A	1, 11
2	2	staafje door	7	A	17, 23
2	2	toe erbovenop	14	A	11, 24
7	1	dat	27	A	1, 3, 13, 16, 20, 23, 27
7	1	ja	19	A	9, 11, 12, 16, 19, 20, 27
6	1	met	22	A	3, 11, 16, 18, 23, 24
5	1	een	18	A	1, 3, 11, 17, 18
5	1	zijn	25	A	3, 13, 20, 23, 27
5	1	zitten	24	A	3, 16, 17, 23, 26
3	1	erbovenop	14	A	11, 18, 24
3	1	het	9	A	16, 17, 24
3	1	klein	24	A	1, 18, 24
2	1	die	10	A	17, 26
2	1	dit	23	A	1, 23
2	1	er	15	A	3, 17
2	1	waar	4	A	23, 26

