Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	dit zijn die met	8	A	20, 27
2	3	die twee punt	7	A	21, 27
3	2	aan de	10	A	12, 13, 21
3	2	dat zijn	19	A	8, 18, 26
3	2	dit zijn	17	A	11, 20, 27
2	2	en dan	9	A	13, 21
2	2	met die	3	A	25, 27
2	2	rond staaf	10	A	12, 21
9	1	ja	21	A	4, 5, 6, 7, 11, 15, 17, 20, 24
7	1	dat	22	A	5, 8, 13, 18, 20, 21, 26
5	1	de	11	A	11, 12, 13, 20, 21
5	1	die	15	A	13, 20, 21, 25, 27
4	1	dan	17	A	5, 8, 13, 21
4	1	met	17	A	11, 20, 25, 27
3	1	en	10	A	12, 13, 21
3	1	haak	15	A	13, 25, 27
3	1	punt	15	A	13, 21, 27
3	1	twee	15	A	13, 21, 27
2	1	door	8	A	20, 27
2	1	het	17	A	11, 27
2	1	plateau	17	A	11, 27
2	1	van	3	A	11, 13
2	1	voorkant	10	A	12, 21
2	1	zo'n	2	A	11, 12

