Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	aan de voorkant	19	B	1, 19
2	3	en nog een	23	B	4, 26
2	3	nog een staafje	2	B	4, 5
5	2	aan de	26	B	1, 5, 6, 19, 26
5	2	een ei	27	B	0, 6, 19, 21, 26
4	2	en een	25	B	2, 6, 20, 26
3	2	dat zijn	24	B	0, 14, 23
3	2	de voorkant	21	B	1, 19, 21
2	2	bak met	8	B	19, 26
2	2	zitten erin	3	B	2, 4
7	1	de	26	B	1, 5, 6, 19, 21, 24, 26
7	1	en	27	B	0, 2, 4, 5, 6, 20, 26
6	1	aan	27	B	0, 1, 5, 6, 19, 26
5	1	zitten	22	B	0, 2, 4, 5, 21
4	1	erin	25	B	2, 4, 20, 26
3	1	met	8	B	19, 21, 26
3	1	zijn	24	B	0, 14, 23
2	1	ander	4	B	21, 24
2	1	niet	3	B	21, 23
2	1	penceel	7	B	20, 26

