Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	vierkant plateau met die twee dezelfde	11	A	14, 24
3	4	met die twee dezelfde	11	A	14, 20, 24
2	4	ding aan de zijkant	5	A	20, 24
2	4	staan op dat vierkant	7	A	14, 20
4	3	aan de zijkant	24	A	1, 14, 20, 24
2	3	dat zijn nummer	14	A	4, 17
5	2	aan de	24	A	1, 3, 14, 20, 24
3	2	dat zijn	18	A	4, 17, 21
2	2	ja en	2	A	1, 2
2	2	van die	14	A	1, 14
7	1	ja	26	A	0, 1, 2, 4, 16, 17, 25
5	1	de	24	A	1, 3, 14, 20, 24
4	1	dezelfde	24	A	1, 14, 20, 24
4	1	die	24	A	1, 14, 20, 24
4	1	op	23	A	2, 14, 20, 24
4	1	twee	24	A	1, 14, 20, 24
4	1	zijn	21	A	4, 17, 21, 24
3	1	ding	24	A	1, 20, 24
3	1	rond	22	A	3, 14, 24
2	1	deze	7	A	14, 20
2	1	er	4	A	1, 4
2	1	plat	13	A	3, 15
2	1	yes	5	A	17, 21

