Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	dit zijn zeggen maar die keukenmachine	10	A	37, 46
2	4	aan de achterkant plakken	37	A	11, 47
2	4	schijf aan de achterkant	25	A	23, 47
4	3	aan de achterkant	37	A	11, 23, 39, 47
2	3	links aan de	2	A	38, 39
2	3	tegenaan plakken en	17	A	23, 39
6	2	aan de	47	A	1, 11, 23, 38, 39, 47
5	2	zeggen maar	36	A	11, 22, 37, 39, 46
3	2	dat ding	26	A	22, 39, 47
3	2	en die	26	A	22, 23, 47
2	2	dat pluimp	17	A	22, 38
2	2	die schijf	9	A	39, 47
2	2	die zeshoek	16	A	23, 38
2	2	ding zo	7	A	22, 28
2	2	hebben die	22	A	1, 22
2	2	met dat	5	A	43, 47
9	1	die	47	A	1, 11, 22, 23, 37, 38, 39, 46, 47
8	1	ja	39	A	6, 10, 12, 24, 27, 30, 42, 44
7	1	aan	47	A	1, 11, 23, 29, 38, 39, 47
7	1	dat	38	A	10, 22, 38, 39, 43, 45, 47
6	1	en	47	A	1, 22, 23, 38, 39, 47
6	1	oké	31	A	0, 7, 9, 13, 21, 30
5	1	ding	47	A	1, 22, 28, 39, 47
4	1	zijn	10	A	37, 39, 45, 46
4	1	zo	19	A	11, 22, 28, 29
3	1	een	29	A	1, 4, 29
3	1	hebben	22	A	1, 10, 22
3	1	keukenmachine	18	A	29, 37, 46
3	1	met	10	A	38, 43, 47
2	1	denken	20	A	10, 29
2	1	onderaan	5	A	39, 43
2	1	uitsteken	2	A	22, 23

