Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	3	aan de linkerkant	32	B	5, 36
2	3	en een spijker	5	B	30, 34
4	2	aan de	32	B	5, 9, 30, 36
4	2	een spijker	28	B	9, 30, 34, 36
3	2	dat zijn	15	B	23, 35, 37
3	2	en een	7	B	30, 34, 36
2	2	een een	28	B	9, 36
2	2	ja ja	12	B	22, 33
11	1	ja	29	B	5, 9, 11, 21, 22, 23, 24, 25, 26, 30, 33
5	1	de	32	B	5, 9, 30, 33, 36
5	1	een	32	B	5, 9, 30, 34, 36
5	1	zijn	34	B	4, 23, 30, 35, 37
4	1	en	28	B	9, 30, 34, 36
2	1	dan	19	B	9, 27
2	1	deze	2	B	4, 5
2	1	oog	32	B	5, 36

