B: 	oeh dit zijn een lastig 
B: 	dit zijn een heel klein 
B: 	en weinig uitsteeksel maar er liggen een horizontaal balk bovenop 
A: 	en twee van die voe aan de zijkant 
B: 	ja 
A: 	oké 
A: 	dat zijn nummer acht 
A: 	ik hebben die een met zo'n balk op zijn hoofd 
A: 	met die voe aan de zijkant 
B: 	ja dat zijn dat zijn bij mij E 
B: 	dit zijn dat balk dat erbovenop liggen en twee dinge aan de aan de zijkant onder 
A: 	ja dat zijn nummer één 
A: 	deze met de balk op zijn kop met de twee voet 
B: 	ja dat zijn bij mij E 
B: 	dit zijn die heel compact met dat balk op het erbovenop horizontaal 
A: 	met de twee voet 
B: 	ja 
A: 	dat zijn zestien 
A: 	de balk met de twee voet 
B: 	balk met twee voet O 
