B: 	oké ja dit zijn die we net denken dat dat je die hebben dat zijn met dat ja wat ik vinden zijn een picknicktafel 
B: 	dus ook met dat vlak maar dan aan de bovenste helft van het kop zeggen maar 
A: 	ja 
B: 	doorheen met die twee schuin poot en dan dat trechterdinge erbovenop 
B: 	ik vinden een beetje de poot van een picknicktafel omdat ze zo schuin staan 
B: 	weten je welk ik bedoelen 
A: 	dat snap ik wel ja 
B: 	ja 
A: 	ja er zitten er zitten zeggen maar een bak nog op het tafel een soort van 
B: 	ja ja 
A: 	ja 
A: 	nee oké hebben ik hem 
B: 	ja 
A: 	dat zijn nummer zestien 
A: 	dit zijn het picknick tafel 
B: 	oké 
B: 	dat zijn bij mij P van picknick 
B: 	oké dit zijn met die picknicktafel 
A: 	ja 
A: 	even daar 
A: 	nummer veertien 
A: 	de picknicktafel 
B: 	oké dat zijn bij mij N van Nico 
B: 	nu met die picknicktafel maar nu zijn ze allemaal weer veranderen 
A: 	ja zijn nummer tien 
A: 	de picknicktafel 
B: 	ja 
A: 	staan rechts 
B: 	hij moeten kunnen niet weg zijn 
B: 	ja bij mij staan die rechtsboven zeggen maar dat zijn D 
A: 	in een 
A: 	ja 
