B: 	deze zijn een een ei-achtig vorm vooraan 
B: 	waarbij dus het zijn twee object dus vooraan dat eivormig ding en een ja 
B: 	een soort van 
A: 	zo'n driehoekig staaf 
B: 	ja precies 
A: 	en dan zo'n kegel bovenop en dan nog een rechthoek 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	okee dat zijn acht 
A: 	deze zijn met zo'n met de ei met het ei aan de voorkant maar dan zonder die stang erdoorheen 
A: 	dus met zo'n rechthoek erbovenop en een kegel erbovenop 
B: 	ja en aan de zijkant steken nog zo'n zo'n ook dinge uit 
A: 	ja zo'n dinge uit ja 
B: 	ja 
B: 	okee dat zijn b 
B: 	deze zijn die die bal aan de aan de voorkant 
A: 	ja 
B: 	dan hebben je bovenop een een klein rechthoek staan en een kegel 
A: 	ja dat zijn acht 
B: 	ja 
A: 	dit zijn met zo'n bal ervoor maar dan niet die een waar die staaf doorheen gaan maar dan met zo'n rechthoek bovenop en die kegel erbovenop 
B: 	ja ja o 
B: 	dit zijn met de bol aan de voorkant 
B: 	en een rechthoek en een kegel aan de bovenkant 
A: 	ja dat zijn zeven 
B: 	ja 
A: 	dat zijn met die met die bal ervoor en dan een kegel bovenop en een rechthoek bovenop 
B: 	ja 
B: 	dat zijn b 
