A: 	oké 
A: 	ik zullen dit stuk beschrijven als een soort van kop met een 
A: 	rond handva waar een soort van staaf doorheen zijn steken 
B: 	ja 
B: 	ik ik denken dat het een neuspiercing zijn maar 
A: 	oké 
B: 	kunnen dat of zeggen maar het zijn zo 
A: 	en er zitten ook nog weer zo'n soort van konijnenoor aan vast maar die zitten aan de achterkant 
B: 	ja aan de achterkant 
B: 	ja oké dan weten ik welk dat zijn 
A: 	ja 
B: 	dat zijn F bij mij 
B: 	dit ja dat zijn die neuspiercing 
B: 	of die ja 
A: 	ja dat die staaf erdoorheen even zoeken hoor ja dit zijn vijf 
A: 	dit zijn die met de neuspiercing 
B: 	ja dat zijn A 
B: 	dit zijn de neuspiercing 
A: 	dat zijn vijf 
A: 	de neuspiercing 
B: 	ja dat zijn H 
B: 	dit zijn de neuspiercing 
A: 	dat zijn vijftien 
