B: 	oké 
B: 	dit object hebben een soort neus aan de aan de linkerkant 
B: 	en een soort nek 
B: 	en achter het het zijn net of er een ondergaan zon achter zijn voor achter zijn hoofd verdwijnen 
A: 	staan het op op een soort van houdert 
B: 	ja ja dat of of tenminste dat vinden ik een soort nek 
A: 	en dan één en dan een soort iets erin 
B: 	ja of 
A: 	aan de bovenkant zo'n soort van flubbel 
B: 	ja dat hebben zo'n raar konijnenoor of zo aan de aan de rechterkant 
A: 	ja 
A: 	oké 
B: 	oké 
A: 	oké ik denken dat ik weten welk het zijn 
A: 	dat zijn bij mij nummer dertien 
A: 	geel knop dan nu toch 
A: 	deze die hebben dat zijn die een die op dat houdert staan 
A: 	met dus een neus aan de linkerkant en een rond iets aan de achterkant 
B: 	ja 
B: 	ja en een konijnenoor 
A: 	ja 
B: 	dat zijn O bij mij 
A: 	weer een nieuw 
B: 	oké 
B: 	dit zijn die weer op dat blok met die neus en dat konijnenoor en dat rond 
A: 	ja dat zijn acht 
A: 	dit zijn die op dat houder 
A: 	met dat rond erachter 
B: 	dat zijn C 
B: 	die op het houder met de neus en het rond 
A: 	even zoeken 
A: 	dat zijn zeven 
A: 	dit zijn die op het houder met dat rond erachter 
B: 	C 
A: 	oké 
B: 	moeten we wachten denken 
A: 	ik denken het 
