A: 	ok deze zijn met die piramide op zijn hoofd maar wel met de scherp punt en allemaal van die random blok en een soort 
A: 	potloodpunt aan de linkerkant zonder de rest van het potlood ja 
B: 	ok 
B: 	dat zijn J voor mij 
A: 	ok 
B: 	ok dit zijn met die puntig piramide op zijn kop 
A: 	ja 
A: 	met echt met die spits niet die afgevlakt 
B: 	die spits ja 
A: 	en dan allemaal random ding er ja 
B: 	allemaal random ding 
A: 	ja precies dat zijn nummer zes bij mij 
A: 	dit zijn die met die scherp driehoek bovenop en die dat potloodpun aan de zijkant 
B: 	ja dat zijn E 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
A: 	ja dat zijn nummer tien 
A: 	dit zijn met die scherp driehoek bovenop met de potloodpunt 
B: 	ja dat zijn voor mij G 
B: 	dit zijn met die puntig driehoek en een potloodpunt 
A: 	ja dat zijn nummer tien 
