A: 	ok 
A: 	ok deze hebben twee uitstekel zo een soort van ja balk en dan zitten er aan allebei de kant een rond 
A: 	op en aan de achterkant hebben hij zo'n vierkant plateauding 
B: 	o ja 
B: 	o ja dan weten ik wel wat het zijn tenminste een beetje zo'n van honkbal een beetje achtig maar dan iets ja een beetje met fantasie ja 
A: 	alles met fantasie hier maar ja ja ik ik denken het wel ja 
B: 	ja 
B: 	ok 
B: 	ja dat zijn bij mij K 
A: 	bij mij tien 
B: 	ok 
B: 	dit zijn die die wat mij een beetje doen denken aan een honkbal met fantasie en dus die twee rond met daar omheen weer een rond 
A: 	ja 
B: 	en dat dinge er achter 
A: 	ja aan de achterkant dat gewoon even voor de zekerheid dat rechthoekig of vierkant plateau ding met nog een dinge er aan ja bij mij zijn dat negen 
B: 	ja 
B: 	ja ja 
B: 	ja 
B: 	bij mij B 
A: 	ok 
A: 	ok dit zijn die honkballer 
B: 	even kijken waar die staan o hier ja F bij mij 
A: 	zeven 
B: 	ok 
B: 	o dan moeten ik klikken 
B: 	dit zijn een beetje die honkbal met dat dinge en die vierkan er achter een beetje ja 
A: 	ja 
A: 	ja dat zijn drie 
B: 	ok K 
A: 	dit zijn de honkballer 
B: 	even kijken waar die zijn o hier L 
A: 	ja veertien 
B: 	dit zijn de honkbal ding 
A: 	even zoeken waar die staan ik moeten even wennen als het opeens een nieuw scherm zijn zeggen maar 
B: 	ja dat zijn weer even helemaal opnieuw oriënteren 
A: 	ja ik zien hem zijn vijf bij mij 
B: 	ok 
