B: 	dan hebben je weer die hoofdvorm en aan de voorkant hebben je dus een bol of zoals jij zeggen een ei 
A: 	ja 
B: 	dat uitsteken 
B: 	dan hebben je dus een schuin kegel op de kop die soort van op het op de hoofdvorm staan 
A: 	ja 
B: 	daarboven staan een rechthoek voor die kegel en dan aan de zijkant link 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	hier hebben je weer de rond hoofdvorm met een ei voorop 
A: 	en dan hebben je een kegel op zijn kop links bovenop de hoofdvorm 
A: 	rechts bovenop de hoofdvorm staan een staaf 
B: 	ja 
B: 	dit zijn de hoofdvorm dat er een soort van ja dat het ei voorop zitten 
B: 	rechts voorop 
B: 	link opsteken er een ja driehoek uit laat maar zeggen 
A: 	ja 
B: 	een staaf bovenop en dan 
A: 	een kegel 
A: 	nummer elf 
A: 	dit zijn de hoofdvorm met een ei voorop link bovenop de hoofdvorm hebben je die omgedraaide kegel rechts staan er een vierkant 
B: 	ja 
B: 	e 
B: 	gaan lekker joh 
A: 	ja 
B: 	dit zijn de hoofdvorm met een ei voorop een schuin kegel bovenop met een staaf naast die schuin kegel 
A: 	ja 
A: 	nummer vijfteen 
A: 	deze hoofdvorm hebben een ei voorop en die kegel op zijn kop link op de hoofdvorm 
B: 	ja h 
