A: 	ja deze doen mij een beetje beetje denken aan zo'n dansend poppe die zeggen maar zo doen 
B: 	o ja ja 
A: 	dus ja hij hebben zeggen maar aan de onderkant zo'n ding en aan de zijkant zo'n ding en dan best wel een lang ja neus denken ik en dan op zijn hoofd ook nog een hoed ja niet een hoed maar 
B: 	ja 
B: 	ja ik hebben het ik hebben die ook dat doen hij me inderdaad ook aan en dat zijn bij mij zijn dat M 
A: 	ok Chill 
A: 	bij mij zijn dat drie 
B: 	ok 
B: 	o dit zijn weer dat dansen poppe met die dat met die been zo en die been zo en nog een arm zo ja 
A: 	ja bij mij zijn dat negen 
B: 	ok bij mij I 
A: 	dit zijn die dans 
B: 	o H 
A: 	zes 
B: 	ok klikken 
B: 	o dit zijn het dansen poppe 
A: 	even kijken waar die staan ja zijn elf bij mij 
B: 	ok bij mij F 
A: 	o nee bij mij niet ok dit zijn het danspoppe 
B: 	o daar D 
A: 	ja achten bij mij 
B: 	o dit zijn weer dat dansen poppe 
A: 	veertien bij mij 
B: 	ja bij mij G 
