A: 	oké 
A: 	ja deze doen me een beetje denken aan een soor strandstoel wat er zo links uit opsteken en dan nog een groot soort honkbalknuppel daar dwars doorheen 
B: 	ja 
B: 	ja dat zijn K bij mij ik noemen het ook de knuppel 
A: 	oké 
B: 	ik noemen het zonnepaneel zo 
A: 	zonnepaneel ja dat zijn ook wel een mooi inderdaad 
B: 	die strandstoel zijn ook leuk 
B: 	oké ja 
B: 	dus dat zijn K 
B: 	het zijn weer die honkbalknuppel 
A: 	ja 
B: 	en het strandstoel 
A: 	oké nummer negen zijn dat bij mij 
A: 	oké 
A: 	nou dit zijn weer de honkbalknuppel met het zonnecelle strandstoel 
B: 	oké 
B: 	even 
A: 	hoe je het noemen willen 
B: 	ja sorry ik moeten even zoeken ja F 
A: 	zijn even zoeken soms 
A: 	die zijn lastig 
B: 	de honkbalknuppel 
A: 	honkbalknuppel waar zijn die ? waar zijn die 
B: 	met het strandstoel 
A: 	daar 
A: 	nummer drie 
A: 	de honkbalknuppel en de zonnecellet strandstoel 
B: 	even kijken ja dat zijn L bij mij 
A: 	oké 
B: 	weer de honkbalknuppel 
A: 	honkbalknuppel 
A: 	ja nummer vijf 
