A: 	oké 
B: 	oké ik hebben er één het hebben een soort van rood of een bolle aan de voorkant 
A: 	ja 
B: 	en één soort van kwastje die eruit opsteken en nog een recht 
A: 	en nog één rechthoekig 
B: 	ja en nog een soort van driehoek aan de ja 
A: 	ja ja dat zijn nummer veertien bij mij 
B: 	oké 
A: 	oké 
A: 	en dan hebben we weer die neus aan de voorkant met inderdaad dat rechthoek en het kwast bovenop en dat driehoek aan de zijkant 
B: 	ja ja dat zijn de N bij mij 
A: 	oké 
B: 	weer een het bolle aan de voorkant soort van 
B: 	en een soort van kwast erin en dan weer dat recht plaat 
A: 	ja 
A: 	rechthoekigje en 
B: 	ja 
A: 	ja oké 
B: 	en dat driehoek aan de zijkant yes 
A: 	nummer negen 
B: 	top 
A: 	deze zijn weer met die neus aan de voorkant en dan het het balk bovenop en het veer en het driehoek 
B: 	en het ja 
B: 	yes dat zijn G bij mij 
A: 	oké 
B: 	weer met die neus 
A: 	ja 
B: 	en dan dat rechthoek en de kwast 
A: 	top 
A: 	ja nummer vijf 
B: 	oké 
B: 	oké 
A: 	deze zijn weer met die neus en dan het veertjeachtig dinge 
B: 	ja en dan dat staaf en dat driehoek 
A: 	en dat staaf 
A: 	precies ja 
B: 	yes 
B: 	dat zijn J bij mij 
