A: 	aan de rechterkant hebben het twee balk die eruit opsteken maar als je je hoofd kantellen naar links vinden ik dat het een varken zijn en dan zien je hem waarschijnlijk meteen maar 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	met aan de linkerkant ook nog twee uitsteekselt en aan de bovenkant zo'n 
A: 	ja ja ja 
A: 	en aan de ja 
B: 	ja dat zijn I 
B: 	dit zijn de hoe noemen jij het ? varken 
A: 	ja 
A: 	dan zijn dat twee 
A: 	dit zijn dat dat varken 
B: 	ja dat zijn N 
B: 	dit zijn weer het varken 
A: 	waar staan die 
A: 	negen 
A: 	dit zijn het varken 
B: 	dat zijn F 
B: 	dit zijn weer het varken 
A: 	zes 
