B: 	okee deze hebben weer een een eivorm aan de aan de voorkant 
B: 	echt er helemaal voor 
A: 	okee 
B: 	er zitten een een soort staaf die gaan in het kop en daarnaast nog iets wat in het kop gaan hebben een beetje een één ja ik zullen het niet echt een zandloperfiguur noemen maar eerst een soort rui en dan gaan hij worden hij klein en nog weer een klein uittulpsel 
A: 	nee 
A: 	ja 
B: 	en er zitten een soort driehoekig handvat aan 
A: 	ja het zijn een soort pipet dinge toch 
B: 	ja dat zijn wel een goed 
A: 	ja 
B: 	ja 
A: 	dertien zijn het dan 
A: 	deze zijn met dat ei helemaal voorin en er zitten twee staaf in de één zijn met dat pipetvormpje weer 
B: 	ja okee dat zijn f 
A: 	okee 
B: 	deze hebben het ei aan de voorkant en het pipet 
A: 	ja twee 
A: 	dit zijn met de met het ei aan de voorkant en met dat pipetvormpje 
B: 	ja eens even zoeken dat zijn d 
B: 	dit zijn het ei en het pipet 
A: 	dat zijn nummer acht 
A: 	dit zijn met de pipet en het ei aan de voorkant 
B: 	ja dat zijn j 
