B: 	deze zijn wel redelijk moeilijk maar dit een horizontaal balk en die steken net boven die emmer uit 
B: 	en vervolgens zitten er niet zo heel veel aan maar er zitten een soort van ja kegelachtig vorm zitten een beetje zo links maar het gaat vooral om de horizontaal balk 
A: 	ja ik denken het heel simpel 
B: 	ja 
A: 	vier 
A: 	dit zijn die beetje simpel zeggen maar met aan de bovenop die rechthoekig 
B: 	ja l 
B: 	dit zijn die simpel waar dat waar die balk zo horizontaal op de emmer zitten 
A: 	ja vier 
A: 	dit zijn die simpel met die rechthoekig staaf bovenop 
B: 	ja 
B: 	c 
B: 	dit zijn de simpel met de balk zo horizontaal erbovenop 
A: 	ja twee 
A: 	dit zijn die simpel met de rechthoek bovenop 
B: 	a 
