A: 	dan zijn het niet gelijk 
A: 	ja dit zijn de mok die aan de linkerkant een een hengsel hebben waarbij het een soort van lijken alsof er een tentharing in opsteken 
A: 	vinden ik 
B: 	zien ja 
A: 	dat zijn een soort van pin met een vierkant 
B: 	ja 
B: 	ja 
B: 	met vierkant bovenkant eraan ja dat zijn bij mij L 
A: 	ja 
A: 	oké 
B: 	ik hebben de basisvorm waar aan de voorkant op een soort plateau een cirkel zijn vormen met een voe daaraan dus aan vast steken 
B: 	en ja ik weten niet hoe ik de maar wat je eerder zeggen als een soort tenthaak die dan met een vierkantje als een soort uitsteeksel op op het ander uitsteeksel 
A: 	zijn dat mijn tentharing 
B: 	vastzetten 
B: 	ja precies ja 
A: 	ja 
B: 	dat wel 
A: 	ja dat zijn nummer zeven hier 
A: 	en dit zijn de mok met de tentharing 
B: 	ah 
B: 	ja even zien 
B: 	dat zijn dan bij mij even zoeken ja C 
B: 	ik hebben degeen de tenthaakding en dan 
A: 	ah ja dat zijn nummer één 
B: 	ja 
A: 	gelijk 
A: 	dit zijn de mok met de tentharing 
B: 	ah ja die staan bij mij even zoeken ja A zijn dat 
B: 	ik hebben degeen met de de tentharing eruit steken 
A: 	welk zeggen je met de 
B: 	met de tent haaken daar yes juist ja zijn ja 
A: 	de ja 
A: 	ja nummer dertien 
