B: 	okan ja ik vinden het een beetje een soort van 
B: 	wasbak denken ik het zijn zeggen maar zo'n vierkant en er zitten twee van die boog en er zitten een soort van ton in en uit die ton komen van die spira 
A: 	ok 
B: 	het zijn gewoon zeggen maar een vierkant vlak en daarop staan het object 
A: 	ok en zitten die spira eigenlijk een beetje aan de zijkant ? of echt aan de bovenkant 
B: 	ja zijkant 
A: 	en zijn dat zeggen maar drie of ja ok dat zijn vijf 
B: 	ja ja 
B: 	ja ok 
A: 	deze hebben vierkant aan de onderkant zeggen maar dat hij echt het kop staan er op ja dat zijn er eigenlijk nog maar één aan de zijkant zitten ja aan allebei die 
B: 	die spira 
A: 	ja 
B: 	ok dat zijn J 
B: 	ja dit zijn dan vierkant vlak met dat object erop en dan die spiraal 
A: 	ok zijn elf 
A: 	hebben het vierkant aan de onderkant en daar staan het kop op 
B: 	ja dat zijn P 
B: 	dit zijn dat vierkant vlak waar het dan op staat 
A: 	zijn negen 
A: 	ja hebben we hetzelfde kop wat op het vierkant vlak staan 
B: 	ja dat zijn L 
