A: 	ik vinden deze er heel plat uitzien omdat die rechts hebben die twee precies dezelfde ja een soort isteken zijn het eigenlijk 
A: 	en bovenop zijn een soort ja espressocu of zo of een hoed 
A: 	en links iets ik weten niet precies wat en link in het midden van het kop zitten nog een nog een vinne 
A: 	bovenop zitten zo'n ja klein cupje 
A: 	dat zijn het enig wat bovenop zitten 
B: 	ja een soort 
B: 	en die uitzien er plat uit 
B: 	en hij hebben aan de rechterkant staan twee 
A: 	ja 
A: 	ja precies dat zijn dat isteken 
B: 	oké ja ja ik vinden het een soort kip maar 
A: 	een kip 
A: 	ja ja ja ja oké 
B: 	dan zijn het zijn het I 
A: 	oké 
B: 	dit zijn de kip 
B: 	met aan de rechterkant die twee of dat dat istek 
A: 	ja 
A: 	twee 
A: 	dit zijn de kip 
B: 	de kip 
B: 	dat zijn M 
A: 	met het isteken 
B: 	ja 
B: 	dit zijn de kip 
A: 	negen 
A: 	ja 
A: 	de kip 
B: 	de kip dat zijn F 
B: 	kip 
A: 	zes 
