A: 	oké 
A: 	deze hebben een bolle erbovenop en een soor arm aan de zijkant 
B: 	en zo'n langwerpig ja ja 
A: 	en zo'n 
A: 	ja precies 
B: 	dat zijn D bij mij 
A: 	oké top 
B: 	mooi hoe we dezelfde 
B: 	Alright 
B: 	een bolle bovenop 
A: 	ja 
B: 	en dan zo'n lang staaf aan de voorkant met van die armpjes 
A: 	ja met weer die armpjes 
B: 	yes 
A: 	ja nummer vijftien 
A: 	weer bolle bovenop met die armpjes zo en die lang staaf Voorin 
B: 	staaf 
B: 	ja dat zijn even ja dat zijn de L 
B: 	kijken welk letter bij wat horen 
A: 	oké 
B: 	oké weer die met dat bolle bovenop 
A: 	ja 
B: 	en die staaf voor en die armpjes zo 
A: 	ja 
A: 	waar zijn die ? nummer zes 
A: 	deze zijn weer met dat bolle bovenop en die armpjes zo en de staaf ervoor 
B: 	ja en die lang staaf dat zijn de J 
B: 	weer dat bolle bovenop en die lang staaf en die armpjes 
A: 	ja 
A: 	nummer drie 
