A: 	oké 
B: 	nou dit zijn weer zo'n kop met een soort van bolle eraan in het midden van het kop 
B: 	staan twee kegel op die beide een ander vorm hebben 
B: 	en een uitstulpsel uitsteeksel aan de linkerkant van het kop 
A: 	ja oké 
A: 	ja dan dan hebben ik hem dat zijn veertien voor mij dan 
B: 	oké 
A: 	yes 
A: 	oké deze hebben twee kegel aan de bovenkant die er net wat ander uitzien 
B: 	ja 
A: 	aan de rechterkant een bol 
B: 	ja 
A: 	en aan de linkerkant een ook nog een uitsteeksel 
B: 	het zijn N 
A: 	oké 
B: 	het zijn weer het kop met de met de bol in het midden en de twee 
B: 	de twee kegelvormig uitsteeksel waarvan de één één kegel zijn en de ander een cilinder 
B: 	en de ander een blok bedoelen ik 
A: 	ja dus inderdaad die die die twee kegel boven 
B: 	ja 
A: 	ja oké dat zijn negen weer 
A: 	yes 
A: 	dit zijn die met de bol rechts en de twee twee kegel aan de bovenkant die er ander uitzien 
B: 	zijn G 
B: 	het zijn die een weer met die twee kegel erop en die bol aan de rechterkant 
B: 	en het tobleronetje aan de linkerkant 
A: 	yes oké dat zijn vijf 
A: 	ja oké 
A: 	de bol aan de rechterkant 
A: 	en dan die twee kegel er erbovenop 
A: 	die er ander uitzien 
B: 	J 
A: 	yes 
