A: 	ja dit zijn zeggen maar achter dat kop hebben je een soort staaf een een een rond staaf met twee van die 
A: 	knop aan de buitenkant 
A: 	en ja een soort zeggen maar een vierkan die er schuin uit komen met nog een staaf eruit oké die zijn niet 
A: 	zeggen maar je ja 
B: 	ja ik volgen je niet helemaal maar 
A: 	nee het zijn de enig die echt zeggen maar zo'n balk achter het kop hebben en dan opsteken die link een klein stuk uit en rechts een groot stuk 
B: 	ah een beetje met die rond lijken een beetje rond schroef links en rechts 
A: 	ja die een soort van van die knopje die erop zitten 
B: 	ja 
A: 	ja 
B: 	en dan zo'n vierkant ding inderdaad met nog iets eraan 
A: 	ja daarachter ja 
B: 	ja 
B: 	dat zijn K bij mij 
B: 	dit zijn die met die twee armpjes die op knoppen leek 
B: 	met dat vierkantje erachter 
A: 	even zoeken 
B: 	zo alsof er zo'n spijker door het kop zitten of zo'n staaf 
A: 	die staaf met die knopje erop en dat vierkantje en dat dat ding dat aan het vierkant zitten 
B: 	ja 
B: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn dat beker met die staaf weer met die knopje eraan 
A: 	en het vierkantje met de zonnecelding zeggen maar 
A: 	je hebben het kop en de enig met zo'n lang staaf erachter die doorlopen 
A: 	aan de linkerkant wat kort aan de rechterkant wat lang 
A: 	en dan hebben je die knop 
B: 	ja ja die knop 
A: 	ja 
B: 	dat zijn nummer F 
B: 	dit zijn weer die met die knop aan beide kant 
B: 	met dat vierkant erachter waar nog zoiets aan afhangen 
B: 	dus het hebben twee armp 
B: 	die zo op knop lijken 
A: 	dat met die met die staaf daarachter 
B: 	ja 
A: 	die met links kort en rechts lang 
B: 	ja ja ja 
A: 	ja dat zijn nummer drie 
A: 	ja het kop met de staaf rechterkant lang de kop en het vierkantje met 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
B: 	weer die met die knoparmp waarvan die linker kort zijn dan de rechter 
B: 	en dat vierkant erachter waar iets aan afhangen 
A: 	ja nummer vijf 
