A: 	deze hebben een soort handvatding aan de bovenkant 
A: 	en dan aan de rechterkant een blok op een groot blok op een groot blok op een groot blok 
B: 	en zitten er link nog twee dinget 
A: 	ja datzelfde ding als die bovenop hebben zitten aan de linkerkant en daarachter zitten ook nog een dinge 
B: 	oké dan zijn het E 
B: 	deze hebben een soort ja 
B: 	kegel erop die er ook voor zitten en dan rechts die blok weer die steeds een klein blok en dan een groot blok en dan nog groot blok 
A: 	een kegel bovenop 
B: 	en links aan de zijkant nog 
A: 	en links aan de zijkant 
B: 	dat zijn ongeveer dezelfde kegel 
B: 	volgens mij zijn het één van de één die we hebben 
A: 	en zitten er ver nog wat 
B: 	ja rechts in elkaar stapellen blok 
B: 	en links boven dat kegelding zitten nog een klein raar frutje 
A: 	ja ik denken ik denken dat ik hem dat ik hem hebben 
A: 	dat zijn elf 
A: 	deze hebben weer die soort kegel bovenop en dan ook aan de zijkant aan de 
A: 	linkerkant en dan die vierkant die steeds groot worden 
B: 	ja dat zijn bij mij J 
B: 	deze hebben weer die twee kegel en die blok die 
A: 	ja die één aan de voorkant één aan de zijkant en dan die blok ja 
B: 	ja 
A: 	dat zijn bij mij nummer negen 
A: 	deze hebben weer die kegel bovenop en die kegel aan de zijkant en dan die vierkant die steeds groot worden 
B: 	B 
B: 	deze zijn weer met die twee ding die zo gaan 
A: 	ja met die vierkant die steeds groot worden ja dat zijn nummer vier 
B: 	en die 
B: 	ja 
