B: 	oké 
A: 	jij hebben nu het vierkant ja 
B: 	hij hebben weer hij hebben een echt zeggen maar echt zo'n bol neus 
B: 	of ja het zitten veel aan de zijkant 
B: 	en bovenop zijn een een een rechthoek 
B: 	en één iets ander dat lijken een beetje op zo'n bowling kegel 
A: 	ja ja ja ja ja 
A: 	en dan aan de zijkant zo'n driehoek 
B: 	ja 
B: 	ja 
A: 	oké 
A: 	veertien 
A: 	ze hebben trouwens heel formaat veranderen 
A: 	ze hebben die formaat veranderen 
B: 	Hoezo 
A: 	van de 
A: 	want er zijn een paar foto die we al hetzelfde hebben zeggen 
B: 	ja 
A: 	dat zijn best makkelijk nu 
A: 	ja dat zijn met met dat balk en dan zo'n ik weten niet veel wat je net zeggen zo'n zo'n misvormd waterdruppel 
B: 	kegel 
B: 	ja en dan en dan zo'n bol weer 
A: 	ja 
A: 	zo'n bol ja 
B: 	ja 
B: 	N 
B: 	weer die bol zeggen maar 
B: 	en dan bovenop een blok en een kegel 
A: 	ja 
A: 	en die die driehoek 
B: 	ja 
A: 	oké 
A: 	negen 
A: 	ja dat dat dat neus dat bal zeggen maar en dan één balk en één kromen waterdruppel 
B: 	ja 
B: 	G 
B: 	weer die rond neus en dan met die met zo een waterdruppel en die balk 
A: 	ja 
B: 	bovenop 
A: 	vijf 
A: 	ja neus en dan balk en misvormd waterdruppel 
A: 	en dan zo'n driehoek 
B: 	ja eventjes zoeken 
B: 	ik weten precies hoe die eruitziet maar ik kunnen hem hier staan die 
A: 	van mij zijn rechts 
B: 	J 
