A: 	ja dit zijn er één die aan de linkerkant komen er een soort van 
A: 	ja armp uit het zijn een beetje een vreemd vorm en daar worden dan weer een soort van spijker komen daar weer uit 
B: 	en zo'n bijzettafel aan de rechterkant 
A: 	en er zijn een bijzettafel erbij inderdaad 
B: 	L 
B: 	dit zijn weer dat bijzettafel met een soort van spijker in zo'n steken in zo'n uitstekend ding 
A: 	de bijzettafel die erdoorheen zitten of 
B: 	nee lijken dat rond rond tafel zeggen maar 
A: 	ja wachten 
A: 	de rond tafel 
B: 	en dan hebben je zo'n ander ding er link uit steken met zo'n spijker erin 
A: 	ja ja ja ja ik zien hem ja dat zijn zeven 
A: 	dit zijn diegene die een soort van uit ja 
A: 	ding aan de linkerkant hebben en daar worden dan weer gaan dan weer een spijker in en dat bijzettafel dan aan de aan de rechterkant 
B: 	ja 
B: 	C 
B: 	dit zijn die met de spijker links en het bij rond bijzettafel rechts 
A: 	ja 
A: 	één 
A: 	dit zijn degeen met de arm met de spijker en het bijzettafel aan de ander kant 
B: 	ja 
B: 	A 
B: 	de de spijker die links uit komen en dan het rond klein bijzettafel 
A: 	ja 
A: 	dertien 
