B: 	oké 
A: 	nou 
B: 	we mogen praten 
A: 	ja jij hebben een rood vierkant als het goed zijn 
B: 	oké 
B: 	ik hebben een rood vierkantje dus ik zullen maar gelijk beginnen 
B: 	ja ik vinden ze dus een beetje op beker of op hoofd lijken 
A: 	oké 
B: 	ik weten niet hoe jij het zag dit hebben een een soort van lepel of uitsteeksel 
A: 	ja 
A: 	ja 
B: 	en een plat rond verticaal aan de aan de achterkant een beetje 
A: 	een beetje aan de achterkant eens even kijken 
B: 	en het hebben een soort van neus 
B: 	of een langwerpig uitsteeksel 
A: 	een langwerpig neus aan de voorkant 
B: 	ja 
B: 	ja 
A: 	en dan een 
B: 	een plat rond aan de achterkant 
A: 	echt zo zeg maar 
B: 	die ertegenaan zitten ja 
A: 	ja precies 
B: 	yes 
A: 	en één uitsteeksel beetje rechtsboven en één uitsteeksel link 
B: 	yeslen ja 
A: 	beetje zeshoekig 
B: 	en daaronder nog een soort van ovaalachtig iets waar die op leunen 
A: 	precies precies ja 
B: 	ja 
A: 	oké dan denken ik dat ik hem hebben vinden 
B: 	oké 
A: 	nummer dertien bij mij 
B: 	oké dat kunnen 
A: 	en dan op welk 
B: 	dan moeten jij op geel drukken denken ik toch 
A: 	ja 
B: 	en dan gaan we naar de volgen taak 
A: 	ik hebben één ja ook zo'n soort kwast bovenop 
A: 	en dan zo'n rond schijf helemaal achter er soort van tegenaan plakken 
A: 	en dan een soort achthoekig staaf erin prikken aan de zijkant 
B: 	ja 
B: 	en hij leunen op zo'n ovaalachtig 
A: 	ja precies 
B: 	ja dat zijn O bij mij 
B: 	oké het zijn hij hebben een soort van lepeltje 
B: 	een uitsteeksel en een rond plat dinge aan de aan de achterkant 
A: 	ja 
A: 	even kijken een rond plat dinge aan de 
B: 	en hij hebben ja een rond plat dinge aan de achterkant en hij leunt weer op dat ovaal dinge 
B: 	en hij hebben een uitsteeksel ik weten niet of het rond zijn of iets van achthoekig 
B: 	soort van neus 
B: 	zo'n rond plaat aan de achterkant hebben die en een soort van kwastje 
A: 	welk zijn dat 
A: 	ja die zo nog daarbovenuit daar ja 
B: 	ja 
A: 	en dan inderdaad dat een beetje achthoekig 
B: 	ja die er zo uit opsteken ja 
A: 	ja precies oké ja 
B: 	yes 
A: 	dat zijn nummer acht 
B: 	oké 
A: 	oké dit zijn weer dat schotel achterop met dat soort freubel veertjeachtig iets bovenop 
B: 	even kijken ik weten niet ja ja 
A: 	en dan het achthoekig 
B: 	yes dat zijn C bij mij 
B: 	weer dat rond dat achter zitten 
A: 	ja 
B: 	en dan dat soort van kwastje 
B: 	of dat lepel en die achthoekig uitsteeksel 
A: 	ja ja en het achthoekig 
A: 	ja precies nummer zeven 
B: 	ja 
A: 	deze zijn weer met dat plateau erachter dat halfron plateau erachter en dan één zo'n kwast erbovenop 
B: 	nice 
B: 	ja 
A: 	en het achthoekig dinge 
B: 	ja C bij mij 
A: 	top 
A: 	nou dat zijn het 
A: 	wij zijn klaar met dit deel 
B: 	oeh 
A: 	top 
B: 	wat goed 
B: 	gaan wel lekker 
A: 	ja toch 
B: 	hè ? ja vinden ik wel 
A: 	okidoki 
B: 	Alright 
A: 	nee dat beginnen een beetje 
