B: 	het kop hebben onder een blauw vlak als enig met een blauw vlak eronder 
A: 	ja ja ja maar dan met zo'n van die van die Pippi Langkousdingen 
B: 	en van 
B: 	ja van die dinget 
B: 	ja 
A: 	ja oké 
A: 	dat zijn bij mij nummer vijf 
A: 	die met die twee paardenstaart en dat rond aan de voorkant 
B: 	ja dat zijn J 
B: 	ik hebben die met die Pippi Langkousstaartjes 
A: 	ja nummer elf 
A: 	die met die twee staart 
B: 	dat zijn P 
B: 	ik hebben het Pippi Langkousstaart 
A: 	nummer negen 
A: 	die met die twee die twee ja die staart 
B: 	Trrr 
B: 	ja 
A: 	ja 
B: 	dat zijn L 
