A: 	oké dit noemen ik een gieter 
A: 	hij hebben namelijk aan de zowel linker als rechterkant een een soort van uitsteeksel met een bolle aan het einde 
B: 	en aan de achterkant een soort vierkant wat zo omhoog 
A: 	ja 
B: 	ja oké 
B: 	dat zijn K bij mij 
B: 	dit zijn die gieter 
A: 	ja 
A: 	ja dat zijn negen 
A: 	oké dit zijn de gieter 
B: 	ja dat zijn F 
B: 	dit zijn de gieter 
A: 	ja dat zijn weer even zoeken 
A: 	oké dat zijn drie 
A: 	de gieter 
B: 	ja dat zijn L 
B: 	de gieter 
A: 	dat zijn vijf 
