A: 	hier zitten zeggen maar twee staf in een kort en een lang met een bolle aan de aan de uiteinde 
A: 	en er staan nog iets van een vierkant achter 
A: 	op een stok 
B: 	twee staf in 
A: 	ja welk vorm hebben ze een beetje vierkant vijfhoek zoiets 
A: 	zeggen maar er zitten twee van die ovaal aan de uiteind van de staf 
A: 	het zijn best wel groot staf 
A: 	daarachter zitten zeggen maar een plat vierkant maar hij lijken op een ruit 
A: 	als je er zo naar kijken die zien je zien hem maar voor de helft 
B: 	die ja ja ik zien 
B: 	links en rechts zijn die staf 
A: 	ja kloppen dat hebben ik niet zeggen 
B: 	ja okee nee ik zijn er bovenop aan het zoeken 
B: 	ja 
A: 	nee links en rechts ja en daarachter zo'n gek ruitding 
B: 	ja 
B: 	ja een staaf en dan een soort van zo'n bolle er zeggen maar aan de ander kant 
A: 	ja inderdaad ja 
B: 	okee ja 
B: 	dat zijn mij nummer of letter p 
B: 	dan moeten ik omschrijven 
B: 	deze hebben twee staven links en rechts met een bolle op het uiteinde 
B: 	en een soort van vierkant houderding aan de achterkant 
B: 	dus links en rechts twee rond staf en de uiteind zijn bollet 
A: 	ja yes 
A: 	met die vierkant en dat rechthoekding 
B: 	ja 
A: 	ja dat zijn nummer tien 
B: 	ja 
A: 	dit zijn die met die twee stok met die bal aan de uiteind met die rechthoek nee wat zijn het een ruit erachter 
B: 	ja ja 
A: 	weten je nou ja 
B: 	dat zijn f 
B: 	dit zijn de de theekop met links en rechts een staaf met bollet aan de uiteind 
A: 	ja en erachter nog ja 
B: 	ja 
A: 	prima dat zijn vier 
A: 	dit zijn die met die twee staf met die bal aan het uiteinde en daarachter een ruit 
B: 	ja dat zijn n 
B: 	dit zijn met de de de staaf door het kop heen met bollet aan de uiteind en de rechthoek erachter 
A: 	ja dat zijn zes 
