B: 	ja dit vinden ik echt hier snapte ik niks van 
B: 	dit zijn 
B: 	nou ja je hebben dat dat kopvormpje dus en dan staan daarbovenop een soort rechthoekig vormp een soort gebouw of zo of ja zo zullen je het kunnen zien 
A: 	ja 
B: 	en dan hebben die aan de linkerkant een 
A: 	een soort van half lampenkap 
B: 	ja half ja inderdaad en aan aan de ander kant een soort ja verschillend steeksel en zo 
A: 	ja 
A: 	oké dat zijn acht 
B: 	oké 
A: 	hier kunnen we niet zoveel van maken dat zijn die met dat huis rechthoekig ding bovenop 
B: 	ja 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn E bij mij 
B: 	dat zijn die raar met dat gebouw bovenop 
A: 	even zoeken dat zijn één 
A: 	oké dit zijn die stom met dat huis bovenop of dat gebouw bovenop 
B: 	ja 
B: 	E 
B: 	dit zijn die raar met het gebouw 
A: 	zestien 
A: 	dit zijn die met het gek gebouw 
B: 	dat zijn O 
