A: 	dan deze hebben zo'n triangel of zo'n pyramidevormig iets op zijn hoofd 
A: 	heel scherp 
B: 	ja ja 
A: 	en aan de linkerkant hebben hij een mini-arm 
B: 	ja ik zien hem denken ik al 
A: 	gaan van dun dan naar dik 
B: 	ja dat zijn dat zijn letter 
A: 	hebben een heel raar iets hier 
B: 	ja dat zijn l 
B: 	deze hebben de puntmuts 
B: 	en links een armp wat van dun naar dik gaan en 
A: 	puntmuts 
A: 	ja 
B: 	ja dat ding je weten wel welk het zijn 
A: 	dat zijn nummer zes 
A: 	ja zes 
A: 	deze hebben zo'n heel puntig ding boven 
A: 	en hebben dat rond hier beneden 
A: 	en een klein armp van dun naar dik 
B: 	ja dat gek ja 
B: 	dat zijn o 
B: 	dit zijn die met de puntmuts 
B: 	en een klein arm links 
A: 	puntmuts 
A: 	ja zo 
B: 	ja 
B: 	en dan een ding rechts en een 
A: 	dat zijn nummer vijfteen 
A: 	deze zijn met die puntmuts 
A: 	en met een dun arm naar dik arm 
B: 	ja c 
B: 	puntmuts 
A: 	puntmuts 
B: 	en klein naar groot arm links 
A: 	dat zijn nummer vier 
