B: 	ik vinden dit een beetje op zo'n tap lijken als je zo'n groot glas komen hebben waar je limonade uit kunnen tappen 
B: 	dan komen er zo'n balk uit waar ook weer een balk op zitten 
A: 	wachten even een balk uit en ook weer een balk 
B: 	en aan de zijkant zitten twee van die schuin ding die zo lopen aan de een kant zien je hem goed dan aan de ander kant 
B: 	en bovenop zitten nog een balk 
A: 	een ja ja 
A: 	ik denken aan een kip maar ik snapen wat je bedoelen 
B: 	oké 
A: 	acht 
A: 	waarvan jij zeggen dat het een saptap zijn en ik zeggen dat het een kip zijn 
B: 	even kijken waar die zijn hoor 
B: 	ja ja dat zijn E 
B: 	dit zijn de kip en het watertapdingetje 
A: 	waar staan die 
A: 	één 
A: 	dit zijn de kip en de watertap 
B: 	dat zijn E 
B: 	dit zijn weer de kip 
B: 	of de watertap 
A: 	zestien 
A: 	dit zijn de tap en de kip 
B: 	ja dat zijn O 
