A: 	ok het zijn gewoon een mok daar zijn niks aan veranderen alleen liggen er dan pilaar naast 
A: 	en een iets wat lijken op misschien een zonnepaneel of zo 
B: 	o bij 
A: 	snap 
A: 	zo'n grieks achtig pilaar zullen je het kunnen noemen 
B: 	ik a ja jij jij zien het zo ik hebben ik hebben dat als een soort zijwaarts peper en zout vat denken ik dus 
A: 	ok ok ok 
B: 	kunnen je daar iets bij voorstel of en dan aan de linkerkant zijn hij kort en aan de rechterkant zijn hij dan wat lang en dan inderdaad er achter zo'n soort paneel dat een beetje omhoog worden houden 
A: 	Jajajajajaja Jajaja 
A: 	Jajajaja 
A: 	ja precies 
A: 	jaja 
B: 	ok K 
B: 	ja dit jij hebben die als een grieks pilaar peper en zout vaatje zonnepaneel aan de achterkant 
A: 	ja ja jajaja ja weten ik al ja negen 
A: 	ok dit zijn die een met die zout en peper slash pilaar 
A: 	weten je wel 
B: 	ja 
B: 	o ja F 
B: 	peper en zout de balk zonnepaneel 
A: 	ja 
A: 	even zoeken drie 
A: 	met die peper en zout slash lang rond balk grieks achtig balk 
B: 	ja met het zonnepaneel 
A: 	ja 
B: 	L 
B: 	grieks pilaar peper en zout met zonnepaneel 
A: 	even kijken 
B: 	o we hebben weer nieuw plaat inderdaad nieuw locatie 
A: 	o ik zien hem al wachten even hoor grieks pilaar 
B: 	of peper en zout met het zonnepaneel 
A: 	jajajaja weten ik ik zijn gewoon blind o ik zien hem al oen ik zijn echt overal aan het kijken behalve daar vijf 
B: 	ok 
