A: 	even kijken nou de kopvorm en aan de rechterkant hebben je twee ja rechthoek 
A: 	beetje een ISteken wat erin steken zijn 
B: 	ja ja 
A: 	en aan de linksonder hebben hij een nou ja licht licht ja uitsteeksel beetje een ja staart 
B: 	en dan 
A: 	en daar daarboven net boven zeggen maar dat staart zitten één ja streepje 
B: 	ja ja met van met aan allebei de kant een beetje een driehoek toch 
A: 	ja 
B: 	zeggen maar 
A: 	ja hij zijn ja het zijn een beetje zo'n driehoeksvorm inderdaad 
B: 	ja 
B: 	en dan bovenop staan er ook nog een een soort van vulkaan 
A: 	ja staan een 
A: 	ja ja zo zullen ik het noemen 
B: 	o 
B: 	hier zitten twee rechthoeak aan de rechterkant erin steken zeg maar 
B: 	en dan bovenop een soort van vulkaandingetje iets 
A: 	ja ja en dan aan de Linkeronderkant een klein vormp en daarboven ook een 
B: 	ja 
A: 	ja dat zijn twee 
B: 	ja ja 
A: 	dit zijn die met de twee blok aan de rechterkant met aan de linksonder het ja klein uiteinde 
A: 	daarbovenop een beetje de die vulkaanvorm 
B: 	ja ja d 
B: 	dit zijn degeen met twee recht ja rechthoeak aan de zijkant erin aan de rechterkant 
B: 	met de vulkaan erbovenop 
A: 	ja ik zien hem 
A: 	zestien 
A: 	dit zijn die met de twee balk aan de rechterkant zijkant en de vulkaanvorm bovenop 
B: 	ja h 
B: 	dit zijn degeen met twee rechthoeak aan de zijkant erin en met de vulkaan bovenop 
A: 	twee 
