B: 	dit zijn eigenlijk het poppet met de dik neus iets op zijn hoofd een kegel ook nog op zijn hoofd met een 
A: 	een rechthoek op zijn hoofd 
B: 	ja rechthoek en 
A: 	en en komen er zeggen maar gootje uit zijn oor 
B: 	ja één 
A: 	ja 
A: 	ja 
B: 	wat een driehoekig vormp hebben een triangel een kegel 
A: 	ja ja echt zo'n ja ja ja 
A: 	nou dan weten ik hem al 
A: 	dat zijn nummer veertien 
A: 	dit zijn zijn met een soort van gootje wat uit zijn oor komen en een rond neus 
B: 	ik zijn even aan het zoeken hoor 
A: 	rond neus gootje uit het oor een kegel en een blok 
B: 	ja ja de kegel en een 
B: 	ja weten ik dan gaan het om N tweepoot 
B: 	dit zijn die met die rond neus 
B: 	zonder piercing gewoon alleen de neus met twee staaf op zijn hoofd en zo 
A: 	met zo'n gootje 
B: 	met zo'n goo erin 
A: 	ja dat zijn Numero negen 
A: 	met die dik neus en dat watergoo 
A: 	uit zijn oor 
A: 	en dat blok 
B: 	ja dan gaan het om G 
B: 	dit zijn het normaal nee wachten ik zeggen het verkeerd dit zijn zeggen maar die met een rond neus twee dinge op zijn kop en een waterpijp aan de linkerkant 
A: 	dat ja dat zijn dan Numero vijf 
A: 	ja met die dik neus en het goo 
B: 	ja dat worden dan J 
