B: 	goed de volgen als we het weer over koffiekop hebben het hebben een aan de linkerkant een soort van twee arm 
B: 	het lijken een beetje robotachtig arm 
B: 	een beetje blurry lijn 
B: 	en aan de voorkant een beetje rechts staan een een een vierkant vlak 
B: 	en daarbovenop zien je een soort spijker die dan aan de bovenkant van het koffiekopje erin zitten 
A: 	ja 
A: 	ja 
A: 	ja dat zijn bij mij nummer twee 
A: 	die zijn wel duidelijk 
A: 	dan hebben we de 
A: 	hoe noemen je die net ook alweer ? het koffiekopje met een vierkant rechtopstaand aan de voorkant 
A: 	aan de linkerkant steken er twee bred worden blok aan 
B: 	ja 
B: 	met die spijker ook 
A: 	met de spijker ding aan de bovenkant 
B: 	ja 
B: 	dat zijn letter G 
A: 	yes 
B: 	ja dit zijn dat ding met een een vierkant plaat aan de voorkant 
B: 	twee arm 
B: 	met een beetje van die blurry 
A: 	de de robotarom 
B: 	ja de robotarom 
A: 	met de spijker 
B: 	met de spijker 
A: 	ja 
A: 	nummer negen 
A: 	de robotarom 
A: 	de spijker 
B: 	ja 
B: 	dat zijn letter D 
B: 	robotarom met de spijker in het hoofd 
B: 	en een vierkant vlak 
A: 	robotarom 
A: 	robotarom ja hebbes 
A: 	nummer één 
A: 	de robotarom 
B: 	waar staan die 
B: 	ja 
B: 	letter B 
