B: 	even kijken dit zijn ja deze vinden ik echt heel vaag ik weten echt niet wat voor een omschrijving ik er aan kunnen aangeven maar rechts zeggen maar zijn een beetje echt zo'n 
B: 	ovaal rond en dan Erboven zijn een vierkan en daarnaast naast dat vierkantje link zitten een soort van 
B: 	bowlingpion vinden ik het alleen dan op de kop en links zijn iets van een driehoek wat ook nog uitsteken 
A: 	ik gaan even zoeken hoor 
B: 	ja 
B: 	hier komen ik echt heel ja hier hier dit doen me nergens echt aan denken maar 
A: 	ik ik snapen wel wat je bedoelen met die ja ik weten dat bowlingding herken ik wel maar dan op de kop inderdaad 
B: 	ja ok ja 
B: 	ja zijn het dan denken ik die 
A: 	ja ja bij mij zijn dat de veertien 
B: 	ok bij mij P 
A: 	ok 
B: 	okan top 
A: 	dit zijn die met die omgekeerde bowling pin 
B: 	o die waar staan hij o daar dat zijn N bij mij 
A: 	bij mij drie 
B: 	ok 
B: 	dit zijn ja die een met dat met die bowling pilaar op het hoofd 
A: 	dat zijn negen bij mij 
B: 	ok bij mij G 
A: 	ok 
B: 	nee 
A: 	o sorry dit zijn die omgekeerde bowling pion 
B: 	maken niet uit 
B: 	o die even kijken waar hij staan o hier G 
B: 	even kijken 
A: 	ja dertien bij mij 
B: 	ok 
B: 	o dit zijn dat een met de bowling ding op het hoofd 
A: 	ja zijn vijf bij mij 
B: 	ok bij mij O 
A: 	dit zijn de bowling pion 
B: 	o daar J 
A: 	ja negen bij mij o 
B: 	ja 
