B: 	deze lijken alsof die een soort van half tafel aan de voorkant hebben dwars doorheen 
A: 	ja 
B: 	met twee poot 
B: 	en dan daarop staan één ja een nee ja piramidevorm eigenlijk op zijn kop 
A: 	maar dan op zijn kop 
A: 	ja 
B: 	en aan de achterkant nog een soort van staart 
A: 	ja 
A: 	dat zijn zestien 
A: 	ja dit zijn dat kop met dat ja tafel met die twee poot 
A: 	en die omgekeerd piramide erop 
B: 	ja 
A: 	en achterin nog dat haak 
B: 	ja 
B: 	dat zijn P 
B: 	dit zijn die met die soort tafel met twee poot en omgekeerde piramide 
A: 	even zoeken 
A: 	ik kunnen hem niet vinden 
A: 	ja ja 
A: 	ja dat zijn veertien 
A: 	ja dit zijn die met die met dat tafel 
A: 	die twee poot en de omgekeerde piramide erop 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn die met die soort tafel met twee poot erdoorheen 
B: 	en die piramide op zijn kop 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn die met dat tafel met de poot en de omgekeerd piramide 
B: 	even kijken waar die zijn ja dat zijn D 
