A: 	even denken dit kop hebben aan de rechterkant een soort van rond schijf 
A: 	op de plat kant zeggen maar 
A: 	en dan aan de linkerkant zitten een soort van ja letter C zullen je kunnen zeggen die heel lang doorlopen en daar 
A: 	steken weer een soort van ijspegel uit recht links naar boven 
B: 	en met nog een vierkantje erop 
A: 	ja 
B: 	oké dat zijn L 
B: 	en dit zijn weer dat kop met die plat schijf aan de rechterkant 
B: 	en aan de linkerkant ja jij zeggen net C geloven ik 
B: 	en die ijspegel en het vierkantje 
A: 	ja ja 
A: 	zeven 
A: 	dit zijn weer met zo'n rond schijf die uitsteken op de plat kant met de letter C en een ijspegel naar boven met vierkantje 
B: 	ja 
B: 	ja dat zijn C 
B: 	dit zijn die met die plat schijf aan de rechterkant en de C en de ijspegel aan de linkerkant 
A: 	dat zijn één 
A: 	dit zijn met dat met die plat cirkel en de letter C en dan de 
B: 	ijspegel 
A: 	ja 
B: 	ja dat zijn A 
B: 	dit zijn weer met dat plateau aan de rechterkant en de C aan de linkerkant met de ijspegel en het vierkantje 
A: 	dertien 
