A: 	dit zijn ook de emmer daar zitten een ovaal bol bovenop en een recht stok aan de voorkant ervoor 
B: 	en nog een soort van 
A: 	en nog een rechts aan de rechterkant een 
B: 	ja 
A: 	en aan de linkerkant 
B: 	en link zitten nog een soort zo buigen 
A: 	ja ja 
B: 	ja j 
B: 	deze hebben we al hebben dus dit zijn Ronde 2 waar we in zitten het zijn een bal in de beker en er zitten zo'n staaf zitten er zo voor 
A: 	ja 
B: 	naar beneden zo rechts 
A: 	ja twaalf 
B: 	ja 
A: 	dit zijn emmer met een ronde bol bovenop en een rechthoekig staaf aan de voorkant verticaal 
B: 	ja 
B: 	p 
B: 	dit zijn de bal die net zeggen maar in die emmer zitten en die staaf zo daarvoor 
A: 	ja 
A: 	tien 
A: 	dit zijn het rond bovenop die er half in zitten met dat vierkant ding ervoor 
B: 	ja 
B: 	n 
B: 	dit zijn het balle dat zo in de beker zitten met de staaf 
A: 	ja negen 
