A: 	even kijken dit zijn weer zo'n kop aan de rechterkant hebben dat een plat cirkel 
A: 	je zien hem laten maar zeggen van het zij-aanzicht 
A: 	en aan de linkerkant hebben hij een best wel breed uittulpsel en daar die trekken helemaal naar boven toe , het zijn eigenlijk een soort pion op zijn kop 
A: 	weten je wat ik bedoelen 
B: 	nee 
A: 	oké 
A: 	aan de linkerkant hebben je één 
B: 	ik denken dat ik het wel weten wat je bedoelen 
A: 	ja die hebben je die opsteken helemaal naar links 
B: 	ja helemaal omhoog 
A: 	en 
A: 	en dan gaan hij opeens helemaal omhoog 
B: 	ja 
B: 	dat zijn G 
A: 	oké 
B: 	dit zijn weer die plat cirkel aan de rechterkant 
B: 	en aan de linkerkant een zo'n paal die twee deel hebben 
B: 	met zo'n soort van piramide die omhoog gaan 
A: 	even kijken een plat cirkel zeggen je waar zitten die 
B: 	aan de rechterkant aan de zijkant van het kop 
A: 	even kijken 
B: 	dat zijn die piramide die heel erg omhoog gaan 
A: 	je bedoelen die 
A: 	ja 
A: 	nummer twaalf 
A: 	dit zijn die we al eerder hebben hebben , het gaan naar links en daar boven gaan hij helemaal naar boven 
B: 	ah zijn J 
A: 	hij steken hem uit 
A: 	ja 
B: 	oké dit zijn die plat cirkel aan de voorkant , met de een paal die uit twee deel bestaan aan de linkerkant , met die piramide die heel hoog gaan 
A: 	ja even kijken 
A: 	nummer twee 
A: 	oké dit zijn weer die die hebben dan links een uittulpsel en van daar die gaan dan vanuit links helemaal naar boven , een soort pionachtig 
B: 	dat zijn H 
A: 	iets op zijn kop 
B: 	ja 
B: 	die lang piramide die link helemaal omhoog gaan 
A: 	ja die met dat uitsteeksel 
B: 	ja 
A: 	oké nummer een 
