A: 	oké dit zijn dat bakkie en dan hebben je een soort aan de zijkant zitten er een soort buis maar daar zitten een soort hapje uit het zijn van het lijken een beetje op een soort Pacman maar dan een buisje en daarin zitten een soort groot spijker 
B: 	ja duidelijk 
A: 	en aan de ander kant zitten zo'n uitvormplateau wat rond zijn 
B: 	ja 
B: 	het zijn letter L 
B: 	hij hebben een Pacmannetje en dan een spijker erin 
A: 	ja 
A: 	met dat tafel 
B: 	ja met dat tafel 
A: 	nummer zeven 
A: 	oké dit zijn dus zeggen maar dat komme waar die Pacman met die spijker erin uitsteken en het bijzettafel 
B: 	ja 
B: 	letter C 
B: 	het zijn de Pacman met de spijker en het platformp 
A: 	yes 
A: 	nummer één 
A: 	even kijken komme met Pacman met de spijker en het bijzettafel 
B: 	ja letter A 
B: 	het zijn het Pacman met een spijker 
A: 	nummer dertien 
