A: 	ik vinden dit het kippe eigenlijk aan de rechts kant hebben die twee staaf en dat zullen een beetje een snavel kunnen zijn 
A: 	en dan hebben die aan de zijkant aan de linkerkant hebben die een soort van staaf naar achteren wat een soort van vleugel zullen kunnen zijn 
A: 	en aan de onderkant aan de links kant hebben die een soort van dinge wat naar achteren eruit gaan zo 
A: 	en aan de bovenkant hebben het zo'n soort vorm erbovenop zitten 
A: 	snapan je wat ik daarmee bedoelen 
B: 	nou ik zitten eigenlijk nog steeds te zoeken naar de twee staaf aan de rechterzijkant want die kunnen ik niet 
A: 	ja die eruit komen twee vierkant staaf 
B: 	daar ja ja ja ja hebbes 
A: 	zullen dat een soort van snavel kunnen zijn als je dat je inbeelden 
B: 	ja 
B: 	ik vinden het zo'n opdraaipoppe 
A: 	ja zullen kunnen ja en dan hebben die aan de zijkant hebben die nog zo'n ja aan de ander kant zeggen maar zijn zo'n vleugel wat eruit opsteken 
B: 	ja 
B: 	vleugel 
B: 	ja 
A: 	soort van puntdinge en dan 
B: 	ja 
B: 	maar dan wel met een plat dak 
A: 	ja 
B: 	ja 
A: 	en aan de onderkant zo'n dinge ja 
B: 	oké hebbes 
B: 	nou moeten ik even kijken want er staan een streepje ik weten niet of dat ja dat zijn een I 
B: 	er zijn ook een ander L namelijk 
B: 	hier ook 
B: 	dit zijn die een met dat puntmuts die die plat zijn aan de bovenkant met die twee ding aan de zijkant 
A: 	ja de kip 
A: 	ja met die snavel 
B: 	ja die kip ja jij noemen het kip ja 
A: 	ja dat zijn bij mij twee 
A: 	dit zijn de kip 
A: 	met de snavel zeggen maar 
A: 	aan de rechts kant 
A: 	met die vleugel 
B: 	ja 
A: 	ja 
B: 	M 
B: 	dit zijn de kip 
A: 	waar staan die 
B: 	zijn met zo'n 
A: 	nummer negen 
A: 	de kip 
A: 	die zitten bij mij rechts onderin 
B: 	ja 
B: 	F 
B: 	dit zijn de kip 
A: 	ja nummer zes 
