B: 	oké ja deze hebben een soort van plat ding aan de bovenkant 
B: 	in de beetje erdoorheen met twee poot 
A: 	de plat ding aan de bovenkant 
A: 	en twee poot 
B: 	met een soort van bakje erop 
B: 	als het zijn 
A: 	nuh je dus het lijken alsof hij een soort van in een rek hangen 
B: 	I Guess ja 
A: 	ja 
B: 	misschien 
B: 	met zo'n soort van fliebel aan de achterkant nog omhoog 
A: 	ja precies 
A: 	en zo'n bak ernaast nog zo 
B: 	ja 
B: 	ja 
A: 	ik weten niet precies wat het zijn 
A: 	maar sure 
B: 	ja ja precies ja 
A: 	dat zijn negen 
B: 	oké 
A: 	ja dit zijn dat datgeen dat in dat rek of dat plateau aan de bovenkant weten je wel 
B: 	ja 
B: 	even kijken waar die zitten 
A: 	ja 
B: 	ja met dat gek bak en dinge 
A: 	en dat gek 
A: 	ja precies 
B: 	ja 
B: 	oké dat zijn N 
B: 	ja dit zijn weer met dat rek dinge met dat bak 
A: 	ja sure ja nee duidelijk zeven 
B: 	ja 
B: 	oké 
A: 	oké ja dit zijn weer in het rek hangen , dat in dat rek hangen 
B: 	ah ja 
B: 	ja oké 
B: 	even kijken dat zijn O 
B: 	ja dit zijn weer dat dat rek 
A: 	ja 
B: 	dinge met bakje 
A: 	oké dat zijn twee 
A: 	en dit zijn weer in dat rek 
B: 	ja oké even kijken ah dat zijn B 
