A: 	deze hebben aan de rechterkant een schijf als een soort dienblad 
A: 	en aan de linkerkant hebben die een soort uitgerekken kidneyboon of zo met een soort spijker erin 
A: 	maar het makkelijk te omschrijven zijn een soort aan de rechterkant hebben die echt een soort schijf als een dienblad 
A: 	en bovenop zitten niks 
B: 	een soort van en links hebben die een soort van omgekeerde pion 
A: 	ja die opsteken er zo in 
B: 	op dat 
B: 	ja 
A: 	ja ja ja die 
B: 	dat zijn bij mij L 
B: 	deze hebben weer dat rond plaat soort dienblad en die 
A: 	ja 
B: 	ja dan weten je welk ik bedoelen 
A: 	even zoeken ja het dienblad zijn al ja 
A: 	dat zijn bij mij zeven 
A: 	deze hebben het het dienblad weer met de omgekeerde pion 
B: 	oké dat zijn bij mij C 
B: 	one's dat met dat dienblad 
A: 	met het dienblaad 
A: 	ja dat zijn bij mij één 
A: 	dit zijn die met het dienblad 
B: 	even zoeken 
B: 	A 
B: 	met het dienblad 
A: 	met het dienblad 
A: 	ja dat zijn nummer dertien 
