B: 	deze hebben een een soort balk op op zijn hoofd 
B: 	en er zitten aan de zijkant ja het lijken een beetje op een soort espressoapparaat 
B: 	soort tuu waar iets uit kunnen komen 
B: 	en aan de zijkant zitten nog een soort armp met een staaf omhoog 
A: 	ja ik ja ik denken dat ik het weten echt inderdaad zo'n balk bovenop 
B: 	oké 
B: 	ja 
A: 	en dan ja ik vinden het een beetje op kort mouw lijken 
A: 	zullen ik maar zeggen aan twee kant 
B: 	ja 
B: 	ja 
A: 	en dan inderdaad zo'n heel dun staaf met iets dus dan zijn het nummer acht 
B: 	ja 
B: 	ja 
A: 	dit zijn weten je wel ? met die hanenkam en dat jij denken aan een espressoapparaat 
B: 	ja 
B: 	even kijken 
B: 	zijn het een hanenkam of met dat balk 
A: 	ja met dat balk 
B: 	ja met het balk 
B: 	dan zijn het E 
B: 	dit zijn weer dat espressoapparaat met dat balk op zijn kop 
A: 	ah ja even kijken waar die zijn 
A: 	ja dat zijn nummer één 
A: 	dit zijn dat espressoapparaat met zo'n balk 
B: 	ja 
B: 	dat zijn E 
B: 	dit zijn weer dat espressoapparaat 
A: 	even kijken 
A: 	ah dat zijn nummer zestien 
A: 	dat zijn dat espressoapparaat 
B: 	oké 
B: 	dat zijn O 
