B: 	nou op de hoofdvorm staan een soort van ja wat zijn het een een paddestoel een een soort ja kegelvorm met daarop een rond 
B: 	een vierkant plateau aan de voorkant en aan de linkerkant van die vierkant die klein worden 
A: 	ja 
A: 	ja 
A: 	nummer vijfteen 
A: 	hier hebben het hoofdplatform aan de voorkant een vierkant op zich plakken en aan de linkerkant hebben je twee van die vierkant die steeds klein worden 
A: 	en bovenop hebben je nog een soort paddestoel 
B: 	ja 
B: 	d 
B: 	dit zijn de hoofdvorm dat er een vierkant plateau plat vierkant tegen de hoofdvorm zijn aangeplakt 
B: 	en twee uitsteeksel links zijn waarbij de vierkant klein worden met de paddestoel bovenop 
A: 	ja 
A: 	nummer zeven 
A: 	dit zijn de hoofdvorm met een vierkant plateau aan de voorkant en aan de zijkant twee van die vierkant die zo in elkaar lopen met een paddestoel 
B: 	ja 
B: 	i 
B: 	dit zijn de hoofdvorm waarbij aan de voorkant een vierkant plateau aan de hoofdvorm vastzitten met een soort van paddestoel erbovenop en twee 
A: 	ja nummer acht 
A: 	deze hoofdvorm hebben aan de linkerkant die vierkant die zo ineen lopen en voorop zitten een vierkant plateau plakken met een ja met het paddestoel 
B: 	ja 
B: 	i 
