B: 	oké deze 
B: 	aan de linkerkant hebben je zo'n soort van slurf heel klein 
B: 	aan de voorkant zitten er een een soort van heel omhulsel 
B: 	met daarop een afbroken driehoek 
A: 	even kijken hoor aan de linkerkant zitten er een wat zeggen je een 
B: 	ja een klein slurf zo 
A: 	die beetje naar 
B: 	omhoog gaan 
A: 	die gaan omhoog 
B: 	ja er zitten een heel omhulsel omheen dat zijn het zijn ook het enig plaat die dat hebben 
B: 	en daarop aan de voorkant zitten er een een driehoek zonder top 
B: 	zo'n of zo'n piramide zonder top 
A: 	daar boven zitten een piramide zonder top 
B: 	ja 
A: 	en die piramide zonder top die zitten op de 
B: 	op de bovenkant van dat omhulsel 
A: 	shit 
B: 	want al kop hebben eigenlijk één ding gewoon eraan zitten en dit dit zijn de enig die echt zo'n omhulsel hebben 
A: 	oké en dat zitten aan de 
B: 	aan de voorkant en aan de zijkant 
B: 	en dat omhulsel hebben ook twee paal die schuin naar beneden gaan 
A: 	ven kijken 
A: 	ja 
A: 	ik denken dat ik hem hebben 
A: 	hebben 
A: 	nee wachten 
A: 	willen je nog één keer helemaal goed uitleggen 
B: 	ja want als je het vergelijken met al ander , dan zien je dat alles hebben hebben al ding hebben gewoon één ding uitsteken telkens 
B: 	en dit zijn de enig die een soort van 
B: 	ja hoe moeten je dat anders uitleggen 
A: 	die hebben aan een je zeggen aan de linkerkant 
B: 	ja gewoon aan de linkerkant en aan de voorkant , gaan er helemaal omheen 
A: 	helemaal omheen 
B: 	en dus daarop zitten een piramide op de kop 
B: 	die gaan naar beneden maar zonder top 
A: 	oké 
A: 	nummer vijfteen 
A: 	denken ik 
B: 	oké 
A: 	oké dit zijn een kop en ik vinden het eigenlijk hij zitten door een soort tafel heen lijken het wel met poo 
A: 	kijken ja het kop zitten door een soort vierkantje heen 
A: 	en door dat vierkantje dat plat vierkantje waar die doorheen zitten zitten eigenlijk twee soort van poot 
B: 	ja 
B: 	ja het omhulsel 
A: 	soort 
A: 	ja 
A: 	soort tafel vinden ik het 
B: 	ja oké dat zijn G 
A: 	ja 
B: 	oké deze hebben weer dat omhulsel 
A: 	zijn dat weer helemaal diezelfde 
B: 	dat zijn toch een ander zien ik nu 
B: 	oké 
B: 	die hebben uh , die ander zitten namelijk inderdaad echt in een vierkant , maar deze hebben aan de bovenkant veel dat hij door een vierkant zitten 
A: 	aan 
B: 	en dan twee van die poo 
A: 	dat zijn denken ik die net bedoelen met dat 
B: 	eronder 
B: 	dan zijn we toch in de war zijn met die 
A: 	na ja maken niet uit dat zijn uh , laten maar zeggen je hebben een soort twee poot 
B: 	ja 
A: 	uiteindelijk oké dat zijn nummer vijfteen weer 
B: 	ja 
A: 	oké het voor mij een tafel 
A: 	waar die kop doorheen gaan 
B: 	ja 
A: 	met die twee poot 
B: 	zoeken hoor , ja dat zijn I 
A: 	oké 
B: 	nu hebben we hem goed 
B: 	deze hebben jou tafel 
A: 	ja waar staan de tafel 
A: 	nummer elf 
A: 	het tafel 
A: 	met de poo 
B: 	ja even zoeken 
B: 	B 
