B: 	hier staan bovenop twee figuur 
B: 	link bovenop soort van een kegel en rechts daarvan zijn een een vierkant of een rechthoekig staaf 
B: 	rechtsvoor het kop zitten een soort van ovaal bol ding 
A: 	ja 
B: 	en links daarvan een driehoeksstaaf 
A: 	een driehoeksstaaf ja ja die ook 
B: 	ja 
A: 	een kegel bovenop en een vierkant ja 
B: 	ja 
A: 	dat zijn nummer vier 
A: 	deze hebben een bol aan de voorkant rechtsvoor 
A: 	en er staan een kegel omstekop op en een rechthoek op 
A: 	en een rechthoek op en nog een uitsteking aan de linkerkant 
B: 	ja dat zijn bij mij m m ja m 
B: 	deze hebben bovenop een kegelvorm en een staaf en rechtsvoor een 
A: 	ja 
B: 	ja 
A: 	een bal ja 
B: 	ja 
A: 	yes dat zijn een 
A: 	dit zijn met de bal rechtsvoor en een kegel en een vierkant erbovenop of een rechthoek 
B: 	ja dat zijn j 
B: 	dit zijn rechtsvoor een bal en een kegel en een rechthoekig staaf bovenop 
A: 	ja dat zijn twee 
A: 	dit zijn met de bal rechtsvoor en die kegel en die rechthoekig staaf daar bovenop 
B: 	ja dat zijn e 
