A: 	oké nou ja deze hebben jij hebben jij volgens mij net over , dat zijn diegene die er net in hoekje eronder 
B: 	ja die met die draaien poot zegmaar 
A: 	ja met het gedraaide poot 
B: 	ja 
B: 	oké 
B: 	ja dat zijn M 
B: 	ja 
B: 	cool 
B: 	ja 
A: 	ja ja hebben je hem al aangekliken 
B: 	nee 
B: 	nee nog niet 
A: 	want volgens mij het zijn wel degeen met zo'n soort van zo'n ding Erboven waar nog twee ding uitsteken zegmaar 
B: 	oké 
B: 	ja ja dat zijn wel een ander inderdaad 
A: 	en en aan de rechterkant dan nog twee van die ander ding die uitsteken 
B: 	ja 
B: 	oké 
A: 	die met die hoek zegmaar aan de onderkant 
B: 	ja die zo 
A: 	ja ja ja 
B: 	ja oké 
A: 	ja 
B: 	top 
B: 	dat zijn L 
A: 	ja precies 
A: 	denken al dit 
B: 	ja 
A: 	ja 
B: 	ja dit zijn die ook met zo'n poo aan de benedenkant maar die zo in een boog lopen 
A: 	ja die 
B: 	met dat gek ding aan de bovenkant met van die zijsteeksel ja 
A: 	ja en aan de rechterkant nog twee dinget 
B: 	ja 
A: 	ja ja dat zijn dertien 
A: 	oké dit zijn weer niet de draaien maar die ander onderin 
B: 	die ander met dat dinge 
A: 	ja precies 
B: 	ja oké 
B: 	dat zijn B 
B: 	ja dit zijn weer met dat poo aan de onderkant dat zo in een boog lopen met die ding aan de bovenkant 
A: 	ja die hoek 
A: 	ja 
A: 	ja ja dat zijn zeven 
A: 	dit zijn weer met die haak eronder in plaats van de draaien 
B: 	ja even kijken ah dat zijn C 
B: 	ja dit zijn weer met die met het rond poo met die fliebel aan de bovenkant 
A: 	ja ja ja waar zijn hij 
A: 	dat rond poo 
A: 	die hoek , of 
B: 	ja die in een hoek lopen 
A: 	ja ja ja oké 
B: 	ja ja ja precies 
A: 	ja dat zijn een 
B: 	oké 
