A: 	okan ja deze hebben aan de bovenkant eigenlijk twee heel smal vierkant en aan door die vierkant heen zitten eigenlijk weer een 
A: 	staaf die eigenlijk een beetje bestaan uit vierkant en aan de onderkant hebben hij eigenlijk zo'n klein ja 
A: 	balk die wel echt een beetje krom lopen en hij hebben één armp en aan de voorkant zitten ook nog iets 
B: 	zeggen maar zijn het tenminste als je die een beetje op zijn zijkant draaien zullen het dan een beetje op een dier kunnen lijken 
B: 	zijn het die 
A: 	ja 
B: 	okan dan zijn dan zijn het M 
B: 	ok dit zijn zeggen maar dat dier dat als je hem zo draaien dan zijn het een dier 
A: 	zijn dat met die twee vierkant 
A: 	of zijn dat weer een ander 
B: 	ja ja maar maar met zeggen maar maar twee poot 
A: 	ok willen je het nog heel even snel omschrijven 
B: 	ja zeggen maar aan de onderkant lopen zeggen maar zo'n ding dat hebben je dat dinge en dan 
A: 	ja ok 
A: 	dat zijn negen 
A: 	ja dit zijn degeen met dat aan de onderkant ja zo'n ding en aan de bovenkant van die vierkant die draaien zijn en ook weer met die uitloop 
B: 	zijn dat met die schroef onderin ? of niet 
A: 	niet die draaien schroef het zijn gewoon zo 
B: 	o 
B: 	ja 
A: 	en aan de bovenkant hebben hij draaien vierkant zeggen maar die twee naast elkaar zitten 
B: 	die als je die draaien zeggen maar wat het die ? ok 
A: 	of smal 
A: 	ja ja die ja 
B: 	dan zijn het H 
B: 	ja dit zijn zeggen maar dat dier dat je zo kunnen draaien 
A: 	ja 
A: 	ja dat zijn negen 
A: 	zijn dit nou het dier draaien ? ja volgens mij wel met die vierkant en ja 
B: 	ja dat zijn D 
B: 	ja dit zijn dat dier dat je kunnen draaien 
A: 	ja dat zijn veertien 
