A: 	oké ik noemen deze dumbbell met het zijn niet het juist er zitten een staart onderaan 
A: 	die gaan naar links die die gaan naar rechtsvoor en bovenop hebben je een ruit met een staaf erdoorheen 
B: 	ja ja met twee ja ja ja 
B: 	dat zijn M bij mij 
A: 	M 
B: 	en bij jou 
A: 	drie 
B: 	ik moeten het zeggen 
A: 	ja 
B: 	drie M 
B: 	dit zijn met die ruit bovenop en die waar die die doorboren ruit door vierkant 
A: 	ja ja ja 
B: 	ja 
A: 	negen 
B: 	I 
A: 	ja 
A: 	I negen 
A: 	degeen met met die ruit achter in het hoofd met die twee staf die eruit komen staart onderaan 
B: 	sorry wachten even ruit en 
A: 	ruit in het hoofd gewoon recht achter in het hoofd 
B: 	ja ja die die gek met die armpjes zo 
A: 	hebben geen armp 
A: 	ja met de armpjes uit de ruit 
B: 	wachten nee dan hebben ik even niet de goed armpjes uit de ruit 
A: 	dus ruit helemaal bovenin 
A: 	of gewoon bovenop 
B: 	die ja ja H 
B: 	bij jou 
A: 	zes 
B: 	H zes 
B: 	dit zijn die met die ruit op het hoofd met waardoor en die 
A: 	met dat ding erdoor met dat ding er ihten ja 
B: 	ja ja precies 
B: 	F 
A: 	F elf 
A: 	ruit op het hoofd met die staaf door de ruit heen 
B: 	ja 
B: 	d 
A: 	acht 
B: 	d acht 
B: 	dit zijn die met die ruit boven op zijn hoofd waar dat ding doorheen gaan 
B: 	met die 
A: 	ja 
B: 	ja 
A: 	veertien 
B: 	G 
A: 	G veertien 
