A: 	okee deze hebben zo'n pixeliseren neus lijken het wel 
A: 	vierkant 
A: 	wat een beetje uitsteken 
A: 	en het steken uit aan de rechterkant 
A: 	en dan daarboven zitten de een druppel , soort van 
B: 	wachten even dan hebben ik de verkeerd 
A: 	ja soort van druppelachtig iets 
B: 	ik denken de puntmuts 
B: 	ja ja 
A: 	en die hebben dan ook als linkerarm ook een druppel 
B: 	dan weten ik het al wel 
A: 	en dan daarachter we kunnen zeggen dat hij een staart hebben 
B: 	staart ja dat zijn nummer e 
A: 	okee 
B: 	deze hebben dat geblokken ding wat we zeiden met een groot blok en dan klein blok dat hebben hij aan de rechterkant 
B: 	een arm zeggen maar 
B: 	en twee dezelfde ding die naar boven steken en één die naar links steken 
B: 	een soort hoe noemen je dat kegel 
B: 	en een klein dinge nog links 
A: 	daarachter die een beetje uitsteken 
B: 	krom dinget 
B: 	ja 
B: 	ja 
A: 	ja zo'n pixeliseren neus op die 
B: 	ja 
A: 	okee dat zijn nummer twee 
A: 	deze hebben een kegel hier en een kegel aan deze kant 
A: 	aan deze kant hebben hij een dik vierkant pixeliseren neus 
B: 	ja ik zitten even te kijken waar die staan 
A: 	en dan hebben hij daarachter nog zo'n klein krom staart zullen we maar zeggen 
B: 	ja dat zijn k 
B: 	dit zijn die met twee kegel één naar boven en één naar links en een pixeliseren neus aan de rechterkant of arm 
B: 	en nog een uitstulpsel links 
A: 	ja ik zien hem 
A: 	dat zijn nummer dertien 
A: 	dit zijn die een met de kegel hierboven en een kegel links en een dik neus 
B: 	ja 
B: 	gepixeliseerd ding 
B: 	ja h 
B: 	dit zijn met twee kegel boven en links en een pixeliseren arm neus rechts 
B: 	en nog een uitstulsel link 
A: 	ja 
A: 	nummer zestien 
