B: 	oké 
A: 	jij hebben het vierkantje 
B: 	ja 
A: 	denken ja 
B: 	oké dus dan gaan ik nu uitleggen hoe die eruitziet 
A: 	ja 
B: 	oké nou het zijn het lijken op een soort van gezicht en dan zien je het zeggen maar vanaf de zijkant zo 
A: 	ja 
B: 	en hij hebben een lang neus 
A: 	en het isteken 
B: 	istek 
A: 	ja ik ik hebben het op een ander manier omschrijven 
A: 	twee van die balk aan de 
B: 	nee 
A: 	denken het niet dan 
B: 	nee 
A: 	nee 
B: 	nee geen istek en hij hebben hier een een half rond en een sprie zo naar achter 
A: 	ja 
A: 	en hij hebben ook nog een een beetje een balk zo aan de zijkant 
A: 	kloppen dat 
B: 	nee 
A: 	oké je hebben een ander 
B: 	een nee geen balk aan de zijkant je zien zeggen maar alleen maar ja ik zien het echt voor me als een hoofd en dan zo'n langwerpig neus 
B: 	en hier een sprie en dan een half cirkel op zijn hoofd 
B: 	en hij hebben ook een nek 
B: 	en die zijn ook een beetje langwerpig 
B: 	of zo 
A: 	ik hebben ze echt heel ander beschrijven 
A: 	een sprie op zijn hoofd hebben die 
B: 	ja 
A: 	en hebben die hebben die twee armp zeggen maar 
A: 	of wat wat zijn dat ? oor 
B: 	nee 
B: 	hij hebben niks aan de zijkant 
B: 	zeggen maar de heel de heel zijkant zijn gewoon leeg 
A: 	oké 
B: 	alleen die half cirkel 
B: 	maar die zitten veel aan de bovenkant 
B: 	en en dus de de neus de soort van cilinder 
A: 	ja en hij hebben een sprie en hij hebben maar hij hebben ook aan de onderkant hebben die wat extra toch 
B: 	ja aan de onderkant hebben die ook iets extra 
A: 	ja 
A: 	ja oké ik hebben hem 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	oké 
A: 	dertien 
B: 	oké 
A: 	ik hebben nu een kop ik zien het als een kop steeds met een half ronde cirkel aan de bovenkant 
B: 	ja 
A: 	en een soort ja een pluimp ook weer wat Erboven uitsteekt 
B: 	zijn dat dat weer met die neus 
A: 	ja dat zijn die één van jou ja trouwens ja 
B: 	oké 
B: 	dat zijn O 
B: 	oké dat zijn niet dezelfde plek denken ik 
B: 	oké ik hebben het gezicht met de cirkel de half cirkel 
A: 	ja 
B: 	en het sprie naar achter en de neus zo 
A: 	ja 
A: 	ja ja die je als één hebben 
B: 	ja 
A: 	ja ja 
A: 	oké dat zijn nummer acht 
A: 	ik hebben diegene met dat half rond erbovenuit steken en zo'n pluimp 
B: 	ja 
B: 	ja dat zijn C 
B: 	oké ik hebben het hoofd met de half cirkel en het sprie 
A: 	ja oké 
A: 	zeven 
A: 	oké ik hebben dat ding met een half cirkel erbovenuit 
B: 	ja dat zijn C 
B: 	ja dat zijn C 
B: 	oké 
A: 	hallo 
A: 	ja 
