B: 	er zitten zeggen maar weer een balonnetje in soort van balonne met een 
B: 	pilaar er langs boven en aan de voorkant zitten een bol en link zitten nog een soort van gootje 
A: 	zo'n driehoek 
B: 	ja soort van ja driehoek inderdaad 
A: 	veertien 
A: 	deze hebben een groot ja groot rond aan de voorkant en dan dus dat driehoek aan de zijkant als een soort gleuf 
A: 	vierkant blok op de bovenkant en dat gek ballonne er in 
B: 	de voorkant zo'n bolle zegmaar die echt dan ja ok dat zijn N 
A: 	ja 
A: 	nee 
B: 	zegmaar met dat bolle vooraan links dat soort van gootje dat driehoek en dan links ballonne eruit en een blok eruit boven 
A: 	ja 
A: 	negen 
A: 	dat bolle aan de voorkant en dan gleufje van een driehoek aan de zijkant en een vierkantje aan de bovenkant 
B: 	G 
B: 	die met dat bolle vooraan gleufje link ballonne er uit en blok er uit aan de bovenkant 
A: 	vijf 
A: 	met het bolle aan de voorkant driehoekig gleufje aan de zijkant 
B: 	J 
