B: 	oké deze hebben een een schijf door het midden van het kop 
A: 	oké ja 
B: 	even kijken dat zijn er twee 
A: 	ja het zijn er twee 
B: 	hij hebben een de onderste de onder 
A: 	de onder 
A: 	en dan met die lang die cilinder die zo eruit steken 
B: 	ja 
B: 	ja een beetje schuin cilinder 
A: 	ja en dan twee van die ding erop en dan 
B: 	twee punt Erboven 
A: 	ja 
B: 	ja 
A: 	oké dan zijn dat nummer zes 
B: 	oké 
A: 	dit zijn die een met dat dat die schijf recht doorheen aan de onderkant 
A: 	met die raar slurf aan de voorkant 
B: 	ja oké ja 
A: 	met die twee dinget ook zo op dat 
B: 	ja C 
B: 	one's dit zijn die een met die raar cilinderneus met een vlak door het kop 
B: 	met twee punt bovenaan 
A: 	ja met die slurf 
B: 	ja 
A: 	ja 
B: 	slurf oké 
A: 	dat zijn dertien 
A: 	dit zijn dat kop met dat ding er gewoon recht doorheen die bal die plaat en dan die raar slurf eraan 
B: 	ja 
B: 	ja J 
B: 	met de slurf 
B: 	en het vlak erdoorheen 
A: 	ja 
A: 	nummer negen 
A: 	met die slurf met dat ding erdoorheen 
B: 	ja 
B: 	dat zijn N 
