B: 	oké 
B: 	dit zijn geen gezicht 
B: 	maar je hebben zeggen maar dat vormp wat ze allemaal hebben 
A: 	ja 
B: 	en dan zitten er nu een vlak een plateau zeggen maar en dat zitten er dwars doorheen 
A: 	ja 
A: 	ja 
B: 	en dan opsteken er iets naar voren en twee spriet omhoog 
A: 	ja 
A: 	ja 
B: 	weten je welk ik bedoelen 
A: 	die hebben ik 
A: 	ja 
A: 	en nog één aan de zijkant 
A: 	een stuk met met een 
B: 	ja ja 
B: 	ja die gaan zo 
A: 	ja ja precies ja ja 
B: 	oké 
A: 	oké ja dat zijn zes 
A: 	ik hebben nu één met dat vierkant plateau weer door het kop heen 
B: 	ja ja 
A: 	en twee 
B: 	en twee toef erop 
A: 	ja ja 
B: 	oké dat zijn C 
B: 	oké ik hebben het kop en dan het plateau dat er zo doorheen gaan en twee voelspriet 
A: 	ja 
A: 	ja 
A: 	even kijken waar die zijn ja zijn dertien 
A: 	oké ik hebben dat plateau dat vierkant plateau wat weer door dat kop heen opsteken 
B: 	ja 
A: 	met twee van die 
B: 	ja 
B: 	oké 
B: 	en twee spriet 
A: 	ja 
B: 	oké dat zijn J 
B: 	ik hebben die met het plateau erdoorheen 
A: 	ja 
A: 	oké nee 
A: 	ja oké dat zijn nummer negen 
A: 	ik hebben het gevoel dat ik de heel tijd nummer negen hebben 
A: 	ik hebben die met dat vierkant plateau door het kop heen 
B: 	ja 
B: 	dat zijn N 
